rank,id,title,rating,rating_count,comprehensive_score,kind,url,source_doulist_ids,source_doulists,crawled_at
32,27140017,非自然死亡 アンナチュラル,9.5,765538,94.838339,日剧 / 电视剧,https://movie.douban.com/subject/27140017/,156283469 / 46375658 / 644440,9分电视剧 / 豆瓣电视剧排行榜 / 豆瓣高分日剧,2026-08-09T16:52:13+08:00
33,1291841,教父 The Godfather,9.3,1118136,94.70478,电影,https://movie.douban.com/subject/1291841/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
34,1849031,当幸福来敲门 The Pursuit of Happyness,9.1,1700797,94.68761,电影,https://movie.douban.com/subject/1849031/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
35,5912992,熔炉 도가니,9.3,1043005,94.231792,电影,https://movie.douban.com/subject/5912992/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
36,1293172,末代皇帝 The Last Emperor,9.3,1038888,94.204898,电影,https://movie.douban.com/subject/1293172/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
37,3742360,让子弹飞,9.0,1935632,94.093639,电影,https://movie.douban.com/subject/3742360/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
38,2129039,飞屋环游记 Up,9.1,1514973,93.923994,动画电影 / 电影,https://movie.douban.com/subject/2129039/,223781 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分动画长片,2026-08-09T16:52:13+08:00
39,1929463,少年派的奇幻漂流 Life of Pi,9.1,1500499,93.860635,电影,https://movie.douban.com/subject/1929463/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
40,1851857,蝙蝠侠：黑暗骑士 The Dark Knight,9.2,1204338,93.809652,电影,https://movie.douban.com/subject/1851857/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
41,1292365,活着,9.3,979817,93.806823,电影,https://movie.douban.com/subject/1292365/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
42,2210001,大明王朝1566,9.8,371641,93.62749,国产剧 / 电视剧,https://movie.douban.com/subject/2210001/,146202362 / 172901 / 46375658 / 644440,9分电视剧 / 豆瓣五星电视剧（1/2） / 豆瓣电视剧排行榜 / 豆瓣高分国产剧,2026-08-09T16:52:13+08:00
43,26387939,摔跤吧！爸爸 Dangal,9.0,1760482,93.477138,电影,https://movie.douban.com/subject/26387939/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
44,37116446,给阿嬷的情书,9.3,924015,93.408088,电影,https://movie.douban.com/subject/37116446/,240962 / 42966583,评分人数超过5万且评分高于7分的电影 / 豆瓣高分电影榜（上）9.7-8.6分,2026-08-09T16:52:13+08:00
